iter	Logloss
0	0.6327604109
1	0.5889398293
2	0.5430393705
3	0.4855096268
4	0.4578214962
5	0.4319514634
6	0.4077765161
7	0.3848355325
8	0.3688788026
9	0.3407101246
10	0.3266459178
11	0.3076816482
12	0.2981508136
13	0.2892102405
14	0.2825102508
15	0.2747668758
16	0.2684978522
17	0.2626425726
18	0.258724924
19	0.2537248464
20	0.2491639075
21	0.2439373086
22	0.2370680048
23	0.233700855
24	0.2273788912
25	0.2241628596
26	0.2193015347
27	0.2168256385
28	0.2153473387
29	0.2137725039
30	0.2121993496
31	0.2093125188
32	0.208012472
33	0.2064184174
34	0.2052117215
35	0.2030164668
36	0.2024040835
37	0.201241876
38	0.2002014058
39	0.1984212627
40	0.1977712055
41	0.1974279529
42	0.195988781
43	0.1948905833
44	0.1941057088
45	0.1936392542
46	0.192124127
47	0.1909534648
48	0.1897775064
49	0.1881324407
50	0.187636474
51	0.1871801711
52	0.1861036882
53	0.1855409231
54	0.1843619197
55	0.1836753991
56	0.1821644446
57	0.1820822644
58	0.181809607
59	0.1814519603
60	0.1807238023
61	0.1805323414
62	0.1802709691
63	0.1800518568
64	0.1798703559
65	0.1789171792
66	0.1783001824
67	0.1776549656
68	0.1771451269
69	0.1765303126
70	0.1764104153
71	0.176240703
72	0.1757264043
73	0.1756276692
74	0.1753514488
75	0.1752011677
76	0.1749471124
77	0.1743998967
78	0.1742885464
79	0.1737191393
80	0.1736132528
81	0.1734427925
82	0.1733455533
83	0.1732307914
84	0.1728504081
85	0.1722179238
86	0.1719329188
87	0.1716762123
88	0.171142399
89	0.1710360922
90	0.1709269102
91	0.1708010476
92	0.170689309
93	0.1706040216
94	0.1703501362
95	0.1699545084
96	0.1698732771
97	0.1696417222
98	0.1692156626
99	0.1690994052
100	0.1687824681
101	0.1685620023
102	0.1683886762
103	0.1681413036
104	0.1680612271
105	0.1676229473
106	0.1673297813
107	0.167040195
108	0.166915028
109	0.1668227736
110	0.1664155017
111	0.1663196516
112	0.1662296963
113	0.1661550817
114	0.1660735677
115	0.1659906305
116	0.1657208007
117	0.1655660387
118	0.1654964324
119	0.1652375852
120	0.1651538972
121	0.1650518525
122	0.1649494888
123	0.1648551439
124	0.1646903157
125	0.1645582196
126	0.164451161
127	0.1643385165
128	0.1642099101
129	0.1641347247
130	0.1640472924
131	0.1638942372
132	0.1638556277
133	0.163799461
134	0.163739726
135	0.1635396098
136	0.1634080765
137	0.1633274554
138	0.1632201577
139	0.1631387899
140	0.1629949796
141	0.1627152122
142	0.1626111539
143	0.16247115
144	0.1624446193
145	0.1623876115
146	0.162145437
147	0.1620370686
148	0.1619667769
149	0.1618868245
150	0.1615782692
151	0.1615231351
152	0.161457837
153	0.1613979798
154	0.1613515107
155	0.161296303
156	0.1611795135
157	0.1611140379
158	0.1610157055
159	0.1609477756
160	0.1608043109
161	0.1606702174
162	0.1605798081
163	0.1605159883
164	0.1604104623
165	0.1603465721
166	0.1602999361
167	0.1602119403
168	0.1600243874
169	0.1599845698
170	0.1599015946
171	0.1598330931
172	0.1597789306
173	0.1597484607
174	0.1596847467
175	0.1595983337
176	0.1595058495
177	0.1594694761
178	0.1594261482
179	0.1593571246
180	0.1592901441
181	0.1592408051
182	0.1591686355
183	0.159141038
184	0.1590854936
185	0.1590548797
186	0.1590306182
187	0.1589677921
188	0.1589156825
189	0.1588097403
190	0.1587475578
191	0.1586203773
192	0.1584859059
193	0.1584362916
194	0.1583393048
195	0.1583034702
196	0.1582653418
197	0.158224725
198	0.1581547871
199	0.1580779376
